,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Age,Deck,Embarked
551,552,0,2,male,0,0,26.0,27.0,C,S
552,553,0,3,male,0,0,7.8292,29.69911764705882,C,Q
553,554,1,3,male,0,0,7.225,22.0,C,C
554,555,1,3,female,0,0,7.775,22.0,C,S
556,557,1,1,female,1,0,39.6,48.0,A,C
557,558,0,1,male,0,0,227.525,29.69911764705882,C,C
558,559,1,1,female,1,1,79.65,39.0,E,S
559,560,1,3,female,1,0,17.4,36.0,C,S
560,561,0,3,male,0,0,7.75,29.69911764705882,C,Q
561,562,0,3,male,0,0,7.8958,40.0,C,S
562,563,0,2,male,0,0,13.5,28.0,C,S
563,564,0,3,male,0,0,8.05,29.69911764705882,C,S
564,565,0,3,female,0,0,8.05,29.69911764705882,C,S
565,566,0,3,male,2,0,24.15,24.0,C,S
566,567,0,3,male,0,0,7.8958,19.0,C,S
567,568,0,3,female,0,4,21.075,29.0,C,S
568,569,0,3,male,0,0,7.2292,29.69911764705882,C,C
569,570,1,3,male,0,0,7.8542,32.0,C,S
571,572,1,1,female,2,0,51.4792,53.0,C,S
572,573,1,1,male,0,0,26.3875,36.0,E,S
573,574,1,3,female,0,0,7.75,29.69911764705882,C,Q
574,575,0,3,male,0,0,8.05,16.0,C,S
575,576,0,3,male,0,0,14.5,19.0,C,S
576,577,1,2,female,0,0,13.0,34.0,C,S
577,578,1,1,female,1,0,55.9,39.0,E,S
578,579,0,3,female,1,0,14.4583,29.69911764705882,C,C
579,580,1,3,male,0,0,7.925,32.0,C,S
580,581,1,2,female,1,1,30.0,25.0,C,S
581,582,1,1,female,1,1,110.8833,39.0,C,C
582,583,0,2,male,0,0,26.0,54.0,C,S
583,584,0,1,male,0,0,40.125,36.0,A,C
584,585,0,3,male,0,0,8.7125,29.69911764705882,C,C
585,586,1,1,female,0,2,79.65,18.0,E,S
586,587,0,2,male,0,0,15.0,47.0,C,S
588,589,0,3,male,0,0,8.05,22.0,C,S
589,590,0,3,male,0,0,8.05,29.69911764705882,C,S
590,591,0,3,male,0,0,7.125,35.0,C,S
591,592,1,1,female,1,0,78.2667,52.0,D,C
592,593,0,3,male,0,0,7.25,47.0,C,S
593,594,0,3,female,0,2,7.75,29.69911764705882,C,Q
594,595,0,2,male,1,0,26.0,37.0,C,S
595,596,0,3,male,1,1,24.15,36.0,C,S
596,597,1,2,female,0,0,33.0,29.69911764705882,C,S
597,598,0,3,male,0,0,0.0,49.0,C,S
598,599,0,3,male,0,0,7.225,29.69911764705882,C,C
599,600,1,1,male,1,0,56.9292,49.0,A,C
600,601,1,2,female,2,1,27.0,24.0,C,S
601,602,0,3,male,0,0,7.8958,29.69911764705882,C,S
602,603,0,1,male,0,0,42.4,29.69911764705882,C,S
603,604,0,3,male,0,0,8.05,44.0,C,S
604,605,1,1,male,0,0,26.55,35.0,C,C
605,606,0,3,male,1,0,15.55,36.0,C,S
606,607,0,3,male,0,0,7.8958,30.0,C,S
607,608,1,1,male,0,0,30.5,27.0,C,S
608,609,1,2,female,1,2,41.5792,22.0,C,C
609,610,1,1,female,0,0,153.4625,40.0,C,S
610,611,0,3,female,1,5,31.275,39.0,C,S
611,612,0,3,male,0,0,7.05,29.69911764705882,C,S
612,613,1,3,female,1,0,15.5,29.69911764705882,C,Q
613,614,0,3,male,0,0,7.75,29.69911764705882,C,Q
614,615,0,3,male,0,0,8.05,35.0,C,S
615,616,1,2,female,1,2,65.0,24.0,C,S
616,617,0,3,male,1,1,14.4,34.0,C,S
617,618,0,3,female,1,0,16.1,26.0,C,S
618,619,1,2,female,2,1,39.0,4.0,F,S
619,620,0,2,male,0,0,10.5,26.0,C,S
620,621,0,3,male,1,0,14.4542,27.0,C,C
621,622,1,1,male,1,0,52.5542,42.0,D,S
622,623,1,3,male,1,1,15.7417,20.0,C,C
623,624,0,3,male,0,0,7.8542,21.0,C,S
624,625,0,3,male,0,0,16.1,21.0,C,S
627,628,1,1,female,0,0,77.9583,21.0,D,S
628,629,0,3,male,0,0,7.8958,26.0,C,S
629,630,0,3,male,0,0,7.7333,29.69911764705882,C,Q
631,632,0,3,male,0,0,7.0542,51.0,C,S
632,633,1,1,male,0,0,30.5,32.0,B,C
633,634,0,1,male,0,0,0.0,29.69911764705882,C,S
634,635,0,3,female,3,2,27.9,9.0,C,S
635,636,1,2,female,0,0,13.0,28.0,C,S
636,637,0,3,male,0,0,7.925,32.0,C,S
637,638,0,2,male,1,1,26.25,31.0,C,S
638,639,0,3,female,0,5,39.6875,41.0,C,S
639,640,0,3,male,1,0,16.1,29.69911764705882,C,S
640,641,0,3,male,0,0,7.8542,20.0,C,S
641,642,1,1,female,0,0,69.3,24.0,B,C
643,644,1,3,male,0,0,56.4958,29.69911764705882,C,S
645,646,1,1,male,1,0,76.7292,48.0,D,C
646,647,0,3,male,0,0,7.8958,19.0,C,S
648,649,0,3,male,0,0,7.55,29.69911764705882,C,S
649,650,1,3,female,0,0,7.55,23.0,C,S
650,651,0,3,male,0,0,7.8958,29.69911764705882,C,S
651,652,1,2,female,0,1,23.0,18.0,C,S
652,653,0,3,male,0,0,8.4333,21.0,C,S
653,654,1,3,female,0,0,7.8292,29.69911764705882,C,Q
654,655,0,3,female,0,0,6.75,18.0,C,Q
655,656,0,2,male,2,0,73.5,24.0,C,S
656,657,0,3,male,0,0,7.8958,29.69911764705882,C,S
657,658,0,3,female,1,1,15.5,32.0,C,Q
658,659,0,2,male,0,0,13.0,23.0,C,S
660,661,1,1,male,2,0,133.65,50.0,C,S
661,662,0,3,male,0,0,7.225,40.0,C,C
662,663,0,1,male,0,0,25.5875,47.0,E,S
663,664,0,3,male,0,0,7.4958,36.0,C,S
664,665,1,3,male,1,0,7.925,20.0,C,S
665,666,0,2,male,2,0,73.5,32.0,C,S
666,667,0,2,male,0,0,13.0,25.0,C,S
667,668,0,3,male,0,0,7.775,29.69911764705882,C,S
668,669,0,3,male,0,0,8.05,43.0,C,S
669,670,1,1,female,1,0,52.0,29.69911764705882,C,S
670,671,1,2,female,1,1,39.0,40.0,C,S
671,672,0,1,male,1,0,52.0,31.0,B,S
673,674,1,2,male,0,0,13.0,31.0,C,S
674,675,0,2,male,0,0,0.0,29.69911764705882,C,S
675,676,0,3,male,0,0,7.775,18.0,C,S
676,677,0,3,male,0,0,8.05,24.5,C,S
677,678,1,3,female,0,0,9.8417,18.0,C,S
678,679,0,3,female,1,6,46.9,43.0,C,S
679,680,1,1,male,0,1,512.3292,36.0,B,C
680,681,0,3,female,0,0,8.1375,29.69911764705882,C,Q
681,682,1,1,male,0,0,76.7292,27.0,D,C
682,683,0,3,male,0,0,9.225,20.0,C,S
683,684,0,3,male,5,2,46.9,14.0,C,S
685,686,0,2,male,1,2,41.5792,25.0,C,C
686,687,0,3,male,4,1,39.6875,14.0,C,S
687,688,0,3,male,0,0,10.1708,19.0,C,S
688,689,0,3,male,0,0,7.7958,18.0,C,S
689,690,1,1,female,0,1,211.3375,15.0,B,S
690,691,1,1,male,1,0,57.0,31.0,B,S
691,692,1,3,female,0,1,13.4167,4.0,C,C
692,693,1,3,male,0,0,56.4958,29.69911764705882,C,S
693,694,0,3,male,0,0,7.225,25.0,C,C
695,696,0,2,male,0,0,13.5,52.0,C,S
696,697,0,3,male,0,0,8.05,44.0,C,S
697,698,1,3,female,0,0,7.7333,29.69911764705882,C,Q
698,699,0,1,male,1,1,110.8833,49.0,C,C
699,700,0,3,male,0,0,7.65,42.0,F,S
700,701,1,1,female,1,0,227.525,18.0,C,C
701,702,1,1,male,0,0,26.2875,35.0,E,S
702,703,0,3,female,0,1,14.4542,18.0,C,C
703,704,0,3,male,0,0,7.7417,25.0,C,Q
704,705,0,3,male,1,0,7.8542,26.0,C,S
705,706,0,2,male,0,0,26.0,39.0,C,S
706,707,1,2,female,0,0,13.5,45.0,C,S
707,708,1,1,male,0,0,26.2875,42.0,E,S
708,709,1,1,female,0,0,151.55,22.0,C,S
709,710,1,3,male,1,1,15.2458,29.69911764705882,C,C
710,711,1,1,female,0,0,49.5042,24.0,C,C
711,712,0,1,male,0,0,26.55,29.69911764705882,C,S
712,713,1,1,male,1,0,52.0,48.0,C,S
713,714,0,3,male,0,0,9.4833,29.0,C,S
714,715,0,2,male,0,0,13.0,52.0,C,S
715,716,0,3,male,0,0,7.65,19.0,F,S
716,717,1,1,female,0,0,227.525,38.0,C,C
717,718,1,2,female,0,0,10.5,27.0,E,S
718,719,0,3,male,0,0,15.5,29.69911764705882,C,Q
719,720,0,3,male,0,0,7.775,33.0,C,S
720,721,1,2,female,0,1,33.0,6.0,C,S
721,722,0,3,male,1,0,7.0542,17.0,C,S
722,723,0,2,male,0,0,13.0,34.0,C,S
723,724,0,2,male,0,0,13.0,50.0,C,S
724,725,1,1,male,1,0,53.1,27.0,E,S
725,726,0,3,male,0,0,8.6625,20.0,C,S
726,727,1,2,female,3,0,21.0,30.0,C,S
727,728,1,3,female,0,0,7.7375,29.69911764705882,C,Q
728,729,0,2,male,1,0,26.0,25.0,C,S
729,730,0,3,female,1,0,7.925,25.0,C,S
730,731,1,1,female,0,0,211.3375,29.0,B,S
731,732,0,3,male,0,0,18.7875,11.0,C,C
732,733,0,2,male,0,0,0.0,29.69911764705882,C,S
733,734,0,2,male,0,0,13.0,23.0,C,S
734,735,0,2,male,0,0,13.0,23.0,C,S
735,736,0,3,male,0,0,16.1,28.5,C,S
736,737,0,3,female,1,3,34.375,48.0,C,S
737,738,1,1,male,0,0,512.3292,35.0,B,C
738,739,0,3,male,0,0,7.8958,29.69911764705882,C,S
739,740,0,3,male,0,0,7.8958,29.69911764705882,C,S
740,741,1,1,male,0,0,30.0,29.69911764705882,D,S
741,742,0,1,male,1,0,78.85,36.0,C,S
742,743,1,1,female,2,2,262.375,21.0,B,C
743,744,0,3,male,1,0,16.1,24.0,C,S
744,745,1,3,male,0,0,7.925,31.0,C,S
746,747,0,3,male,1,1,20.25,16.0,C,S
747,748,1,2,female,0,0,13.0,30.0,C,S
748,749,0,1,male,1,0,53.1,19.0,D,S
749,750,0,3,male,0,0,7.75,31.0,C,Q
750,751,1,2,female,1,1,23.0,4.0,C,S
751,752,1,3,male,0,1,12.475,6.0,E,S
752,753,0,3,male,0,0,9.5,33.0,C,S
753,754,0,3,male,0,0,7.8958,23.0,C,S
754,755,1,2,female,1,2,65.0,48.0,C,S
756,757,0,3,male,0,0,7.7958,28.0,C,S
757,758,0,2,male,0,0,11.5,18.0,C,S
758,759,0,3,male,0,0,8.05,34.0,C,S
759,760,1,1,female,0,0,86.5,33.0,B,S
760,761,0,3,male,0,0,14.5,29.69911764705882,C,S
761,762,0,3,male,0,0,7.125,41.0,C,S
762,763,1,3,male,0,0,7.2292,20.0,C,C
763,764,1,1,female,1,2,120.0,36.0,B,S
764,765,0,3,male,0,0,7.775,16.0,C,S
765,766,1,1,female,1,0,77.9583,51.0,D,S
766,767,0,1,male,0,0,39.6,29.69911764705882,C,C
767,768,0,3,female,0,0,7.75,30.5,C,Q
768,769,0,3,male,1,0,24.15,29.69911764705882,C,Q
769,770,0,3,male,0,0,8.3625,32.0,C,S
770,771,0,3,male,0,0,9.5,24.0,C,S
771,772,0,3,male,0,0,7.8542,48.0,C,S
773,774,0,3,male,0,0,7.225,29.69911764705882,C,C
774,775,1,2,female,1,3,23.0,54.0,C,S
775,776,0,3,male,0,0,7.75,18.0,C,S
776,777,0,3,male,0,0,7.75,29.69911764705882,F,Q
777,778,1,3,female,0,0,12.475,5.0,C,S
778,779,0,3,male,0,0,7.7375,29.69911764705882,C,Q
779,780,1,1,female,0,1,211.3375,43.0,B,S
780,781,1,3,female,0,0,7.2292,13.0,C,C
781,782,1,1,female,1,0,57.0,17.0,B,S
782,783,0,1,male,0,0,30.0,29.0,D,S
783,784,0,3,male,1,2,23.45,29.69911764705882,C,S
784,785,0,3,male,0,0,7.05,25.0,C,S
785,786,0,3,male,0,0,7.25,25.0,C,S
786,787,1,3,female,0,0,7.4958,18.0,C,S
787,788,0,3,male,4,1,29.125,8.0,C,Q
789,790,0,1,male,0,0,79.2,46.0,B,C
790,791,0,3,male,0,0,7.75,29.69911764705882,C,Q
791,792,0,2,male,0,0,26.0,16.0,C,S
792,793,0,3,female,8,2,69.55,29.69911764705882,C,S
793,794,0,1,male,0,0,30.6958,29.69911764705882,C,C
794,795,0,3,male,0,0,7.8958,25.0,C,S
795,796,0,2,male,0,0,13.0,39.0,C,S
796,797,1,1,female,0,0,25.9292,49.0,D,S
797,798,1,3,female,0,0,8.6833,31.0,C,S
798,799,0,3,male,0,0,7.2292,30.0,C,C
799,800,0,3,female,1,1,24.15,30.0,C,S
800,801,0,2,male,0,0,13.0,34.0,C,S
801,802,1,2,female,1,1,26.25,31.0,C,S
802,803,1,1,male,1,2,120.0,11.0,B,S
804,805,1,3,male,0,0,6.975,27.0,C,S
805,806,0,3,male,0,0,7.775,31.0,C,S
806,807,0,1,male,0,0,0.0,39.0,A,S
807,808,0,3,female,0,0,7.775,18.0,C,S
808,809,0,2,male,0,0,13.0,39.0,C,S
809,810,1,1,female,1,0,53.1,33.0,E,S
810,811,0,3,male,0,0,7.8875,26.0,C,S
811,812,0,3,male,0,0,24.15,39.0,C,S
812,813,0,2,male,0,0,10.5,35.0,C,S
813,814,0,3,female,4,2,31.275,6.0,C,S
814,815,0,3,male,0,0,8.05,30.5,C,S
815,816,0,1,male,0,0,0.0,29.69911764705882,B,S
816,817,0,3,female,0,0,7.925,23.0,C,S
817,818,0,2,male,1,1,37.0042,31.0,C,C
818,819,0,3,male,0,0,6.45,43.0,C,S
819,820,0,3,male,3,2,27.9,10.0,C,S
820,821,1,1,female,1,1,93.5,52.0,B,S
821,822,1,3,male,0,0,8.6625,27.0,C,S
822,823,0,1,male,0,0,0.0,38.0,C,S
823,824,1,3,female,0,1,12.475,27.0,E,S
825,826,0,3,male,0,0,6.95,29.69911764705882,C,Q
826,827,0,3,male,0,0,56.4958,29.69911764705882,C,S
828,829,1,3,male,0,0,7.75,29.69911764705882,C,Q
830,831,1,3,female,1,0,14.4542,15.0,C,C
832,833,0,3,male,0,0,7.2292,29.69911764705882,C,C
833,834,0,3,male,0,0,7.8542,23.0,C,S
834,835,0,3,male,0,0,8.3,18.0,C,S
835,836,1,1,female,1,1,83.1583,39.0,E,C
836,837,0,3,male,0,0,8.6625,21.0,C,S
837,838,0,3,male,0,0,8.05,29.69911764705882,C,S
838,839,1,3,male,0,0,56.4958,32.0,C,S
839,840,1,1,male,0,0,29.7,29.69911764705882,C,C
840,841,0,3,male,0,0,7.925,20.0,C,S
841,842,0,2,male,0,0,10.5,16.0,C,S
842,843,1,1,female,0,0,31.0,30.0,C,C
843,844,0,3,male,0,0,6.4375,34.5,C,C
844,845,0,3,male,0,0,8.6625,17.0,C,S
845,846,0,3,male,0,0,7.55,42.0,C,S
846,847,0,3,male,8,2,69.55,29.69911764705882,C,S
847,848,0,3,male,0,0,7.8958,35.0,C,C
848,849,0,2,male,0,1,33.0,28.0,C,S
849,850,1,1,female,1,0,89.1042,29.69911764705882,C,C
850,851,0,3,male,4,2,31.275,4.0,C,S
852,853,0,3,female,1,1,15.2458,9.0,C,C
853,854,1,1,female,0,1,39.4,16.0,D,S
854,855,0,2,female,1,0,26.0,44.0,C,S
855,856,1,3,female,0,1,9.35,18.0,C,S
856,857,1,1,female,1,1,164.8667,45.0,C,S
857,858,1,1,male,0,0,26.55,51.0,E,S
858,859,1,3,female,0,3,19.2583,24.0,C,C
859,860,0,3,male,0,0,7.2292,29.69911764705882,C,C
860,861,0,3,male,2,0,14.1083,41.0,C,S
861,862,0,2,male,1,0,11.5,21.0,C,S
862,863,1,1,female,0,0,25.9292,48.0,D,S
863,864,0,3,female,8,2,69.55,29.69911764705882,C,S
864,865,0,2,male,0,0,13.0,24.0,C,S
865,866,1,2,female,0,0,13.0,42.0,C,S
866,867,1,2,female,1,0,13.8583,27.0,C,C
867,868,0,1,male,0,0,50.4958,31.0,A,S
868,869,0,3,male,0,0,9.5,29.69911764705882,C,S
869,870,1,3,male,1,1,11.1333,4.0,C,S
870,871,0,3,male,0,0,7.8958,26.0,C,S
871,872,1,1,female,1,1,52.5542,47.0,D,S
872,873,0,1,male,0,0,5.0,33.0,B,S
873,874,0,3,male,0,0,9.0,47.0,C,S
874,875,1,2,female,1,0,24.0,28.0,C,C
875,876,1,3,female,0,0,7.225,15.0,C,C
876,877,0,3,male,0,0,9.8458,20.0,C,S
877,878,0,3,male,0,0,7.8958,19.0,C,S
878,879,0,3,male,0,0,7.8958,29.69911764705882,C,S
880,881,1,2,female,0,1,26.0,25.0,C,S
881,882,0,3,male,0,0,7.8958,33.0,C,S
882,883,0,3,female,0,0,10.5167,22.0,C,S
883,884,0,2,male,0,0,10.5,28.0,C,S
884,885,0,3,male,0,0,7.05,25.0,C,S
885,886,0,3,female,0,5,29.125,39.0,C,Q
886,887,0,2,male,0,0,13.0,27.0,C,S
887,888,1,1,female,0,0,30.0,19.0,B,S
888,889,0,3,female,1,2,23.45,29.69911764705882,C,S
889,890,1,1,male,0,0,30.0,26.0,C,C
890,891,0,3,male,0,0,7.75,32.0,C,Q
